State,Year,Population
Massachusetts,2010,6555466
Massachusetts,2011,6607003
Massachusetts,2012,6646144
Michigan,1960,7823194
Michigan,1961,7954000
Michigan,1962,7991000
Michigan,1963,8116000
Michigan,1964,8098000
Michigan,1965,8218000
Michigan,1966,8374000
Michigan,1967,8584000
Michigan,1968,8740000
Michigan,1969,8766000
Michigan,1970,8875083
Michigan,1971,8997000
Michigan,1972,9082000
Michigan,1973,9044000
Michigan,1974,9098000
Michigan,1975,9157000
Michigan,1976,9104000
Michigan,1977,9129000
Michigan,1978,9189000
Michigan,1979,9208000
Michigan,1980,9228128
Michigan,1981,9201000
Michigan,1982,9109000
Michigan,1983,9069000
Michigan,1984,9075000
Michigan,1985,9088000
Michigan,1986,9145000
Michigan,1987,9200000
Michigan,1988,9300000
Michigan,1989,9273000
Michigan,1990,9295297
Michigan,1991,9368000
Michigan,1992,9437000
Michigan,1993,9478000
Michigan,1994,9496000
Michigan,1995,9549000
Michigan,1996,9594000
Michigan,1997,9774000
Michigan,1998,9817000
Michigan,1999,9863775
Michigan,2000,9938444
Michigan,2001,10006266
Michigan,2002,10043221
Michigan,2003,10082364
Michigan,2004,10104206
Michigan,2005,10100833
Michigan,2006,10095643
Michigan,2007,10071822
Michigan,2008,10003422
Michigan,2009,9969727
Michigan,2010,9877143
Michigan,2011,9876801
Michigan,2012,9883360
Minnesota,1960,3413864
Minnesota,1961,3470000
Minnesota,1962,3475000
Minnesota,1963,3500000
Minnesota,1964,3521000
Minnesota,1965,3554000
Minnesota,1966,3576000
Minnesota,1967,3582000
Minnesota,1968,3646000
Minnesota,1969,3700000
Minnesota,1970,3805069
Minnesota,1971,3881000
Minnesota,1972,3896000
Minnesota,1973,3897000
Minnesota,1974,3917000
Minnesota,1975,3926000
Minnesota,1976,3965000
Minnesota,1977,3975000
Minnesota,1978,4008000
Minnesota,1979,4060000
Minnesota,1980,4061235
Minnesota,1981,4090000
Minnesota,1982,4133000
Minnesota,1983,4144000
Minnesota,1984,4162000
Minnesota,1985,4193000
Minnesota,1986,4214000
Minnesota,1987,4246000
Minnesota,1988,4306000
Minnesota,1989,4353000
Minnesota,1990,4375099
Minnesota,1991,4432000
Minnesota,1992,4480000
Minnesota,1993,4517000
Minnesota,1994,4567000
Minnesota,1995,4610000
Minnesota,1996,4658000
Minnesota,1997,4686000
Minnesota,1998,4725000
Minnesota,1999,4775508
Minnesota,2000,4919479
Minnesota,2001,4984535
Minnesota,2002,5024791
Minnesota,2003,5064172
Minnesota,2004,5096546
Minnesota,2005,5126739
Minnesota,2006,5167101
Minnesota,2007,5197621
Minnesota,2008,5220393
Minnesota,2009,5266214
Minnesota,2010,5310658
Minnesota,2011,5347299
Minnesota,2012,5379139
Mississippi,1960,2178141
Mississippi,1961,2215000
Mississippi,1962,2248000
Mississippi,1963,2290000
Mississippi,1964,2314000
Mississippi,1965,2321000
Mississippi,1966,2327000
Mississippi,1967,2348000
Mississippi,1968,2342000
Mississippi,1969,2363000
Mississippi,1970,2216912
Mississippi,1971,2226000
Mississippi,1972,2263000
Mississippi,1973,2281000
Mississippi,1974,2324000
Mississippi,1975,2346000
Mississippi,1976,2354000
Mississippi,1977,2389000
Mississippi,1978,2404000
Mississippi,1979,2406000
Mississippi,1980,2511491
Mississippi,1981,2530000
Mississippi,1982,2551000
Mississippi,1983,2587000
Mississippi,1984,2598000
Mississippi,1985,2613000
Mississippi,1986,2625000
Mississippi,1987,2625000
Mississippi,1988,2627000
Mississippi,1989,2621000
Mississippi,1990,2573216
Mississippi,1991,2592000
Mississippi,1992,2614000
Mississippi,1993,2643000
Mississippi,1994,2669000
Mississippi,1995,2697000
Mississippi,1996,2716000
Mississippi,1997,2731000
Mississippi,1998,2752000
Mississippi,1999,2768619
Mississippi,2000,2844658
Mississippi,2001,2859733
Mississippi,2002,2866733
Mississippi,2003,2882594
Mississippi,2004,2900768
Mississippi,2005,2908496
Mississippi,2006,2910540
Mississippi,2007,2918785
Mississippi,2008,2938618
Mississippi,2009,2951996
Mississippi,2010,2970072
Mississippi,2011,2977457
Mississippi,2012,2984926
Missouri,1960,4319813
Missouri,1961,4378000
Missouri,1962,4346000
Missouri,1963,4328000
Missouri,1964,4409000
Missouri,1965,4497000
Missouri,1966,4508000
Missouri,1967,4603000
Missouri,1968,4627000
Missouri,1969,4651000
Missouri,1970,4677399
Missouri,1971,4749000
Missouri,1972,4753000
Missouri,1973,4757000
Missouri,1974,4777000
Missouri,1975,4763000
Missouri,1976,4778000
Missouri,1977,4801000
Missouri,1978,4860000
Missouri,1979,4868000
Missouri,1980,4901288
Missouri,1981,4938000
Missouri,1982,4951000
Missouri,1983,4970000
Missouri,1984,5008000
Missouri,1985,5029000
Missouri,1986,5066000
Missouri,1987,5103000
Missouri,1988,5139000
Missouri,1989,5159000
Missouri,1990,5117073
Missouri,1991,5158000
Missouri,1992,5193000
Missouri,1993,5234000
Missouri,1994,5278000
Missouri,1995,5324000
Missouri,1996,5359000
Missouri,1997,5402000
Missouri,1998,5439000
Missouri,1999,5468338
Missouri,2000,5595211
Missouri,2001,5637309
Missouri,2002,5669544
Missouri,2003,5719204
Missouri,2004,5759532
Missouri,2005,5797703
Missouri,2006,5842713
Missouri,2007,5878415
Missouri,2008,5911605
Missouri,2009,5987580
Missouri,2010,5995715
Missouri,2011,6008984
Missouri,2012,6021988
Montana,1960,674767
Montana,1961,682000
Montana,1962,709000
Montana,1963,707000
Montana,1964,705000
Montana,1965,706000
Montana,1966,702000
Montana,1967,701000
Montana,1968,693000
Montana,1969,694000
Montana,1970,694409
Montana,1971,708000
Montana,1972,719000
Montana,1973,721000
Montana,1974,735000
Montana,1975,748000
Montana,1976,753000
Montana,1977,761000
Montana,1978,785000
Montana,1979,786000
Montana,1980,781592
Montana,1981,792000
Montana,1982,801000
Montana,1983,817000
Montana,1984,824000
Montana,1985,826000
Montana,1986,819000
Montana,1987,809000
Montana,1988,804000
Montana,1989,806000
Montana,1990,799065
Montana,1991,808000
Montana,1992,824000
Montana,1993,839000
Montana,1994,856000
Montana,1995,870000
Montana,1996,879000
Montana,1997,879000
Montana,1998,880000
Montana,1999,882779
Montana,2000,902195
Montana,2001,905382
Montana,2002,910372
Montana,2003,918157
Montana,2004,926920
Montana,2005,934737
Montana,2006,944632
Montana,2007,957861
Montana,2008,967440
Montana,2009,974989
Montana,2010,990958
Montana,2011,997667
Montana,2012,1005141
Nebraska,1960,1411330
Nebraska,1961,1431000
Nebraska,1962,1484000
Nebraska,1963,1460000
Nebraska,1964,1480000
Nebraska,1965,1477000
Nebraska,1966,1456000
Nebraska,1967,1435000
Nebraska,1968,1437000
Nebraska,1969,1449000
Nebraska,1970,1483791
Nebraska,1971,1512000
Nebraska,1972,1525000
Nebraska,1973,1542000
Nebraska,1974,1543000
Nebraska,1975,1546000
Nebraska,1976,1553000
Nebraska,1977,1561000
Nebraska,1978,1565000
Nebraska,1979,1574000
Nebraska,1980,1563921
Nebraska,1981,1576000
Nebraska,1982,1586000
Nebraska,1983,1597000
Nebraska,1984,1606000
Nebraska,1985,1606000
Nebraska,1986,1598000
Nebraska,1987,1594000
Nebraska,1988,1601000
Nebraska,1989,1611000
Nebraska,1990,1578385
Nebraska,1991,1593000
Nebraska,1992,1606000
Nebraska,1993,1607000
Nebraska,1994,1623000
Nebraska,1995,1637000
Nebraska,1996,1652000
Nebraska,1997,1657000
Nebraska,1998,1663000
Nebraska,1999,1666028
Nebraska,2000,1711263
Nebraska,2001,1720039
Nebraska,2002,1727564
Nebraska,2003,1737475
Nebraska,2004,1747704
Nebraska,2005,1758163
Nebraska,2006,1768331
Nebraska,2007,1774571
Nebraska,2008,1783432
Nebraska,2009,1796619
Nebraska,2010,1830141
Nebraska,2011,1842234
Nebraska,2012,1855525
Nevada,1960,285278
Nevada,1961,299000
Nevada,1962,335000
Nevada,1963,368000
Nevada,1964,408000
Nevada,1965,440000
Nevada,1966,454000
Nevada,1967,444000
Nevada,1968,453000
Nevada,1969,457000
Nevada,1970,488738
Nevada,1971,507000
Nevada,1972,527000
Nevada,1973,548000
Nevada,1974,573000
Nevada,1975,592000
Nevada,1976,610000
Nevada,1977,633000
Nevada,1978,660000
Nevada,1979,702000
Nevada,1980,800312
Nevada,1981,845000
Nevada,1982,881000
Nevada,1983,891000
Nevada,1984,911000
Nevada,1985,936000
Nevada,1986,963000
Nevada,1987,1007000
Nevada,1988,1060000
Nevada,1989,1111000
Nevada,1990,1201833
Nevada,1991,1284000
Nevada,1992,1327000
Nevada,1993,1389000
Nevada,1994,1457000
Nevada,1995,1530000
Nevada,1996,1603000
Nevada,1997,1677000
Nevada,1998,1747000
Nevada,1999,1809253
Nevada,2000,1998257
Nevada,2001,2097722
Nevada,2002,2167455
Nevada,2003,2242207
Nevada,2004,2332898
Nevada,2005,2412301
Nevada,2006,2495529
Nevada,2007,2565382
Nevada,2008,2600167
Nevada,2009,2643085
Nevada,2010,2704283
Nevada,2011,2720028
Nevada,2012,2758931
New Hampshire,1960,606921
New Hampshire,1961,621000
New Hampshire,1962,632000
New Hampshire,1963,627000
New Hampshire,1964,654000
New Hampshire,1965,669000
New Hampshire,1966,681000
New Hampshire,1967,686000
New Hampshire,1968,702000
New Hampshire,1969,717000
New Hampshire,1970,737681
New Hampshire,1971,762000
New Hampshire,1972,771000
New Hampshire,1973,791000
New Hampshire,1974,808000
New Hampshire,1975,818000
New Hampshire,1976,822000
New Hampshire,1977,849000
New Hampshire,1978,871000
New Hampshire,1979,887000
New Hampshire,1980,919114
New Hampshire,1981,935000
New Hampshire,1982,951000
New Hampshire,1983,959000
New Hampshire,1984,977000
New Hampshire,1985,998000
New Hampshire,1986,1027000
New Hampshire,1987,1057000
New Hampshire,1988,1097000
New Hampshire,1989,1107000
New Hampshire,1990,1109252
New Hampshire,1991,1105000
New Hampshire,1992,1111000
New Hampshire,1993,1125000
New Hampshire,1994,1137000
New Hampshire,1995,1148000
New Hampshire,1996,1162000
New Hampshire,1997,1173000
New Hampshire,1998,1185000
New Hampshire,1999,1201134
New Hampshire,2000,1235786
New Hampshire,2001,1259359
New Hampshire,2002,1274405
New Hampshire,2003,1288705
New Hampshire,2004,1299169
New Hampshire,2005,1306819
New Hampshire,2006,1314895
New Hampshire,2007,1315828
New Hampshire,2008,1315809
New Hampshire,2009,1324575
New Hampshire,2010,1316807
New Hampshire,2011,1317807
New Hampshire,2012,1320718
New Jersey,1960,6066782
New Jersey,1961,6244000
New Jersey,1962,6245000
New Jersey,1963,6470000
New Jersey,1964,6682000
New Jersey,1965,6774000
New Jersey,1966,6898000
New Jersey,1967,7003000
New Jersey,1968,7078000
New Jersey,1969,7148000
New Jersey,1970,7168164
New Jersey,1971,7300000
New Jersey,1972,7367000
New Jersey,1973,7361000
New Jersey,1974,7330000
New Jersey,1975,7316000
New Jersey,1976,7336000
New Jersey,1977,7329000
New Jersey,1978,7327000
New Jersey,1979,7332000
New Jersey,1980,7342164
New Jersey,1981,7401000
New Jersey,1982,7438000
New Jersey,1983,7468000
New Jersey,1984,7515000
New Jersey,1985,7562000
New Jersey,1986,7620000
New Jersey,1987,7672000
New Jersey,1988,7720000
New Jersey,1989,7736000
New Jersey,1990,7730188
New Jersey,1991,7760000
New Jersey,1992,7789000
New Jersey,1993,7879000
New Jersey,1994,7904000
New Jersey,1995,7945000
New Jersey,1996,7988000
New Jersey,1997,8053000
New Jersey,1998,8115000
New Jersey,1999,8143412
New Jersey,2000,8414350
New Jersey,2001,8511116
New Jersey,2002,8575252
New Jersey,2003,8642412
New Jersey,2004,8685166
New Jersey,2005,8703150
New Jersey,2006,8724560
New Jersey,2007,8685920
New Jersey,2008,8682661
New Jersey,2009,8707739
New Jersey,2010,8799593
New Jersey,2011,8834773
New Jersey,2012,8864590
New Mexico,1960,951023
New Mexico,1961,983000
New Mexico,1962,1020000
New Mexico,1963,1018000
New Mexico,1964,1008000
New Mexico,1965,1029000
New Mexico,1966,1022000
New Mexico,1967,1003000
New Mexico,1968,1015000
New Mexico,1969,994000
New Mexico,1970,1016000
New Mexico,1971,1030000
New Mexico,1972,1065000
New Mexico,1973,1106000
New Mexico,1974,1122000
New Mexico,1975,1147000
New Mexico,1976,1168000
New Mexico,1977,1190000
New Mexico,1978,1212000
New Mexico,1979,1241000
New Mexico,1980,1295474
New Mexico,1981,1327000
New Mexico,1982,1359000
New Mexico,1983,1399000
New Mexico,1984,1424000
New Mexico,1985,1450000
New Mexico,1986,1479000
New Mexico,1987,1500000
New Mexico,1988,1510000
New Mexico,1989,1528000
New Mexico,1990,1515069
New Mexico,1991,1548000
New Mexico,1992,1581000
New Mexico,1993,1616000
New Mexico,1994,1654000
New Mexico,1995,1685000
New Mexico,1996,1713000
New Mexico,1997,1730000
New Mexico,1998,1737000
New Mexico,1999,1739844
New Mexico,2000,1819046
New Mexico,2001,1830935
New Mexico,2002,1852044
New Mexico,2003,1878562
New Mexico,2004,1903006
New Mexico,2005,1925985
New Mexico,2006,1954599
New Mexico,2007,1969915
New Mexico,2008,1984356
New Mexico,2009,2009671
New Mexico,2010,2065913
New Mexico,2011,2078674
New Mexico,2012,2085538
New York,1965,18073000
New York,1966,18258000
New York,1967,18336000
New York,1968,18113000
New York,1969,18321000
New York,1970,18190740
New York,1971,18391000
New York,1972,18366000
New York,1973,18265000
New York,1974,18111000
New York,1975,18120000
New York,1976,18084000
New York,1977,17924000
New York,1978,17748000
New York,1979,17649000
New York,1980,17506690
New York,1981,17594000
New York,1982,17659000
New York,1983,17667000
New York,1984,17735000
New York,1985,17783000
New York,1986,17772000
New York,1987,17825000
New York,1988,17898000
New York,1989,17950000
New York,1990,17990455
New York,1991,18058000
New York,1992,18119000
New York,1993,18197000
New York,1994,18169000
New York,1995,18136000
New York,1996,18185000
New York,1997,18137000
New York,1998,18175000
New York,1999,18196601
New York,2000,18976457
New York,2001,19084350
New York,2002,19134293
New York,2003,19212425
New York,2004,19280727
New York,2005,19315721
New York,2006,19306183
New York,2007,19297729
New York,2008,19490297
New York,2009,19541453
New York,2010,19395206
New York,2011,19501616
New York,2012,19570261
North Carolina,1960,4556155
North Carolina,1961,4614000
North Carolina,1962,4731000
North Carolina,1963,4760000
North Carolina,1964,4852000
North Carolina,1965,4914000
North Carolina,1966,5000000
North Carolina,1967,5029000
North Carolina,1968,5135000
North Carolina,1969,5205000
North Carolina,1970,5082059
North Carolina,1971,5146000
North Carolina,1972,5214000
North Carolina,1973,5273000
North Carolina,1974,5363000
North Carolina,1975,5451000
North Carolina,1976,5469000
North Carolina,1977,5525000
North Carolina,1978,5577000
North Carolina,1979,5606000
North Carolina,1980,5843665
North Carolina,1981,5951000
North Carolina,1982,6019000
North Carolina,1983,6082000
North Carolina,1984,6165000
North Carolina,1985,6255000
North Carolina,1986,6331000
North Carolina,1987,6413000
North Carolina,1988,6526000
North Carolina,1989,6571000
North Carolina,1990,6628637
North Carolina,1991,6737000
North Carolina,1992,6843000
North Carolina,1993,6945000
North Carolina,1994,7070000
North Carolina,1995,7195000
North Carolina,1996,7323000
North Carolina,1997,7425000
North Carolina,1998,7546000
North Carolina,1999,7650789
North Carolina,2000,8049313
North Carolina,2001,8206105
North Carolina,2002,8305820
North Carolina,2003,8421190
North Carolina,2004,8540468
North Carolina,2005,8672459
North Carolina,2006,8856505
North Carolina,2007,9061032
North Carolina,2008,9222414
North Carolina,2009,9380884
North Carolina,2010,9560234
North Carolina,2011,9651103
North Carolina,2012,9752073
North Dakota,1960,632446
North Dakota,1961,640000
North Dakota,1962,642000
North Dakota,1963,634000
North Dakota,1964,645000
North Dakota,1965,652000
North Dakota,1966,650000
North Dakota,1967,639000
North Dakota,1968,625000
North Dakota,1969,615000
North Dakota,1970,617761
North Dakota,1971,625000
North Dakota,1972,632000
North Dakota,1973,640000
North Dakota,1974,637000
North Dakota,1975,635000
North Dakota,1976,643000
North Dakota,1977,653000
North Dakota,1978,652000
North Dakota,1979,657000
North Dakota,1980,652437
North Dakota,1981,658000
North Dakota,1982,670000
North Dakota,1983,680000
North Dakota,1984,686000
North Dakota,1985,685000
North Dakota,1986,679000
North Dakota,1987,672000
North Dakota,1988,663000
North Dakota,1989,660000
North Dakota,1990,638800
North Dakota,1991,635000
North Dakota,1992,636000
North Dakota,1993,635000
North Dakota,1994,638000
North Dakota,1995,641000
North Dakota,1996,644000
North Dakota,1997,641000
North Dakota,1998,638000
North Dakota,1999,633666
North Dakota,2000,642200
North Dakota,2001,636550
North Dakota,2002,633911
North Dakota,2003,633400
North Dakota,2004,636308
North Dakota,2005,634605
North Dakota,2006,635867
North Dakota,2007,639715
North Dakota,2008,641481
North Dakota,2009,646844
North Dakota,2010,674629
North Dakota,2011,684740
North Dakota,2012,699628
Ohio,1960,9706397
Ohio,1961,9876000
Ohio,1962,10097000
Ohio,1963,10173000
Ohio,1964,10100000
Ohio,1965,10245000
Ohio,1966,10305000
Ohio,1967,10458000
Ohio,1968,10591000
Ohio,1969,10740000
Ohio,1970,10652017
Ohio,1971,10778000
Ohio,1972,10783000
Ohio,1973,10731000
Ohio,1974,10737000
Ohio,1975,10759000
Ohio,1976,10690000
Ohio,1977,10701000
Ohio,1978,10749000
Ohio,1979,10731000
Ohio,1980,10766808
Ohio,1981,10776000
Ohio,1982,10791000
Ohio,1983,10746000
Ohio,1984,10752000
Ohio,1985,10744000
Ohio,1986,10752000
Ohio,1987,10784000
Ohio,1988,10872000
Ohio,1989,10907000
Ohio,1990,10847115
Ohio,1991,10939000
Ohio,1992,11016000
Ohio,1993,11091000
Ohio,1994,11102000
Ohio,1995,11151000
Ohio,1996,11173000
Ohio,1997,11186000
Ohio,1998,11209000
Ohio,1999,11256654
Ohio,2000,11353140
Ohio,2001,11389785
Ohio,2002,11408699
Ohio,2003,11437680
Ohio,2004,11450143
Ohio,2005,11470685
Ohio,2006,11478006
Ohio,2007,11466917
Ohio,2008,11485910
Ohio,2009,11542645
Ohio,2010,11537968
Ohio,2011,11541007
Ohio,2012,11544225
Oklahoma,1960,2328284
Oklahoma,1961,2360000
Oklahoma,1962,2448000
Oklahoma,1963,2487000
Oklahoma,1964,2465000
Oklahoma,1965,2482000
Oklahoma,1966,2458000
Oklahoma,1967,2495000
Oklahoma,1968,2518000
Oklahoma,1969,2568000
Oklahoma,1970,2559253
Oklahoma,1971,2610000
Oklahoma,1972,2634000
Oklahoma,1973,2663000
Oklahoma,1974,2709000
Oklahoma,1975,2712000
Oklahoma,1976,2766000
Oklahoma,1977,2811000
Oklahoma,1978,2880000
Oklahoma,1979,2892000
Oklahoma,1980,3001252
Oklahoma,1981,3098000
Oklahoma,1982,3177000
Oklahoma,1983,3298000
Oklahoma,1984,3298000
Oklahoma,1985,3301000
Oklahoma,1986,3305000
Oklahoma,1987,3272000
Oklahoma,1988,3263000
Oklahoma,1989,3224000
Oklahoma,1990,3145585
Oklahoma,1991,3175000
Oklahoma,1992,3212000
Oklahoma,1993,3231000
Oklahoma,1994,3258000
Oklahoma,1995,3278000
Oklahoma,1996,3301000
Oklahoma,1997,3317000
Oklahoma,1998,3347000
Oklahoma,1999,3358044
Oklahoma,2000,3450654
Oklahoma,2001,3469577
Oklahoma,2002,3489700
Oklahoma,2003,3506469
Oklahoma,2004,3523546
Oklahoma,2005,3543442
Oklahoma,2006,3579212
Oklahoma,2007,3617316
Oklahoma,2008,3642361
Oklahoma,2009,3687050
Oklahoma,2010,3760184
Oklahoma,2011,3784163
Oklahoma,2012,3814820
Oregon,1960,1768687
Oregon,1961,1799000
Oregon,1962,1864000
Oregon,1963,1826000
Oregon,1964,1871000
Oregon,1965,1899000
Oregon,1966,1955000
Oregon,1967,1999000
Oregon,1968,2008000
Oregon,1969,2032000
Oregon,1970,2091385
Oregon,1971,2158000
Oregon,1972,2182000
Oregon,1973,2225000
Oregon,1974,2266000
Oregon,1975,2288000
Oregon,1976,2329000
Oregon,1977,2376000
Oregon,1978,2444000
Oregon,1979,2527000
Oregon,1980,2610477
Oregon,1981,2647000
Oregon,1982,2649000
Oregon,1983,2662000
Oregon,1984,2674000
Oregon,1985,2687000
Oregon,1986,2698000
Oregon,1987,2724000
Oregon,1988,2741000
Oregon,1989,2820000
Oregon,1990,2842321
Oregon,1991,2922000
Oregon,1992,2977000
Oregon,1993,3032000
Oregon,1994,3086000
Oregon,1995,3141000
Oregon,1996,3204000
Oregon,1997,3243000
Oregon,1998,3282000
Oregon,1999,3316154
Oregon,2000,3421399
Oregon,2001,3473441
Oregon,2002,3520355
Oregon,2003,3564330
Oregon,2004,3591363
Oregon,2005,3638871
Oregon,2006,3700758
Oregon,2007,3747455
Oregon,2008,3790060
Oregon,2009,3825657
Oregon,2010,3838332
Oregon,2011,3868229
Oregon,2012,3899353
Pennsylvania,1960,11319366
Pennsylvania,1961,11468000
Pennsylvania,1962,11376000
Pennsylvania,1963,11424000
Pennsylvania,1964,11459000
Pennsylvania,1965,11520000
Pennsylvania,1966,11582000
Pennsylvania,1967,11629000
Pennsylvania,1968,11712000
Pennsylvania,1969,11803000
Pennsylvania,1970,11793909
Pennsylvania,1971,11879000
Pennsylvania,1972,11926000
Pennsylvania,1973,11902000
Pennsylvania,1974,11835000
Pennsylvania,1975,11827000
Pennsylvania,1976,11862000
Pennsylvania,1977,11785000
Pennsylvania,1978,11750000
Pennsylvania,1979,11731000
Pennsylvania,1980,11824220
Pennsylvania,1981,11864000
Pennsylvania,1982,11865000
Pennsylvania,1983,11895000
Pennsylvania,1984,11901000
Pennsylvania,1985,11853000
Pennsylvania,1986,11889000
Pennsylvania,1987,11936000
Pennsylvania,1988,12027000
Pennsylvania,1989,12040000
Pennsylvania,1990,11881643
Pennsylvania,1991,11961000
Pennsylvania,1992,12009000
Pennsylvania,1993,12048000
Pennsylvania,1994,12052000
Pennsylvania,1995,12072000
Pennsylvania,1996,12056000
Pennsylvania,1997,12020000
Pennsylvania,1998,12001000
Pennsylvania,1999,11994016
Pennsylvania,2000,12281054
Pennsylvania,2001,12303104
Pennsylvania,2002,12328827
Pennsylvania,2003,12370761
Pennsylvania,2004,12394471
Pennsylvania,2005,12405348
Pennsylvania,2006,12440621
Pennsylvania,2007,12432792
Pennsylvania,2008,12448279
Pennsylvania,2009,12604767
Pennsylvania,2010,12717722
Pennsylvania,2011,12743948
Pennsylvania,2012,12763536
Rhode Island,1960,859488
Rhode Island,1961,867000
Rhode Island,1962,865000
Rhode Island,1963,885000
Rhode Island,1964,914000
Rhode Island,1965,920000
Rhode Island,1966,898000
Rhode Island,1967,900000
Rhode Island,1968,913000
Rhode Island,1969,911000
Rhode Island,1970,949723
Rhode Island,1971,960000
Rhode Island,1972,968000
Rhode Island,1973,973000
Rhode Island,1974,937000
Rhode Island,1975,927000
Rhode Island,1976,927000
Rhode Island,1977,935000
Rhode Island,1978,935000
Rhode Island,1979,929000
Rhode Island,1980,945835
Rhode Island,1981,952000
Rhode Island,1982,958000
Rhode Island,1983,955000
Rhode Island,1984,962000
Rhode Island,1985,968000
Rhode Island,1986,975000
Rhode Island,1987,986000
Rhode Island,1988,995000
Rhode Island,1989,998000
Rhode Island,1990,1003464
Rhode Island,1991,1004000
Rhode Island,1992,1005000
Rhode Island,1993,1000000
Rhode Island,1994,997000
Rhode Island,1995,990000
Rhode Island,1996,990000
Rhode Island,1997,987000
Rhode Island,1998,988000
Rhode Island,1999,990819
Rhode Island,2000,1048319
Rhode Island,2001,1059659
Rhode Island,2002,1068326
Rhode Island,2003,1076084
Rhode Island,2004,1079916
Rhode Island,2005,1073579
Rhode Island,2006,1067610
Rhode Island,2007,1057832
Rhode Island,2008,1050788
Rhode Island,2009,1053209
Rhode Island,2010,1052528
Rhode Island,2011,1050646
Rhode Island,2012,1050292
South Carolina,1960,2382594
South Carolina,1961,2407000
South Carolina,1962,2436000
South Carolina,1963,2483000
South Carolina,1964,2555000
South Carolina,1965,2542000
South Carolina,1966,2586000
South Carolina,1967,2599000
South Carolina,1968,2692000
South Carolina,1969,2692000
South Carolina,1970,2590516
South Carolina,1971,2627000
South Carolina,1972,2665000
South Carolina,1973,2726000
South Carolina,1974,2784000
South Carolina,1975,2818000
South Carolina,1976,2848000
South Carolina,1977,2876000
South Carolina,1978,2918000
South Carolina,1979,2932000
South Carolina,1980,3064557
South Carolina,1981,3166000
South Carolina,1982,3203000
South Carolina,1983,3264000
South Carolina,1984,3300000
South Carolina,1985,3347000
South Carolina,1986,3378000
South Carolina,1987,3425000
South Carolina,1988,3493000
South Carolina,1989,3512000
South Carolina,1990,3486703
South Carolina,1991,3560000
South Carolina,1992,3603000
South Carolina,1993,3643000
South Carolina,1994,3664000
South Carolina,1995,3673000
South Carolina,1996,3699000
South Carolina,1997,3760000
South Carolina,1998,3836000
South Carolina,1999,3885736
South Carolina,2000,4012012
South Carolina,2001,4062125
South Carolina,2002,4103770
South Carolina,2003,4148744
South Carolina,2004,4197892
South Carolina,2005,4246933
South Carolina,2006,4321249
South Carolina,2007,4407709
South Carolina,2008,4479800
South Carolina,2009,4561242
South Carolina,2010,4637106
South Carolina,2011,4673348
South Carolina,2012,4723723
South Dakota,1960,680514
South Dakota,1961,690000
South Dakota,1962,721000
South Dakota,1963,737000
South Dakota,1964,715000
South Dakota,1965,703000
South Dakota,1966,682000
South Dakota,1967,674000
South Dakota,1968,657000
South Dakota,1969,659000
South Dakota,1970,666257
South Dakota,1971,670000
South Dakota,1972,679000
South Dakota,1973,685000
South Dakota,1974,682000
South Dakota,1975,683000
South Dakota,1976,686000
South Dakota,1977,689000
South Dakota,1978,690000
South Dakota,1979,689000
South Dakota,1980,688217
South Dakota,1981,685000
South Dakota,1982,691000
South Dakota,1983,700000
South Dakota,1984,706000
South Dakota,1985,708000
South Dakota,1986,708000
South Dakota,1987,709000
South Dakota,1988,715000
South Dakota,1989,715000
South Dakota,1990,696004
South Dakota,1991,703000
South Dakota,1992,711000
South Dakota,1993,715000
South Dakota,1994,721000
South Dakota,1995,729000
South Dakota,1996,732000
South Dakota,1997,738000
South Dakota,1998,738000
South Dakota,1999,733133
South Dakota,2000,754844
South Dakota,2001,758324
South Dakota,2002,760437
South Dakota,2003,764905
South Dakota,2004,770621
South Dakota,2005,774883
South Dakota,2006,781919
South Dakota,2007,796214
South Dakota,2008,804194
South Dakota,2009,812383
South Dakota,2010,816598
South Dakota,2011,823593
South Dakota,2012,833354
Tennessee,1960,3567089
Tennessee,1961,3615000
Tennessee,1962,3634000
Tennessee,1963,3694000
Tennessee,1964,3798000
Tennessee,1965,3845000
Tennessee,1966,3883000
Tennessee,1967,3892000
Tennessee,1968,3976000
Tennessee,1969,3985000
Tennessee,1970,3924164
Tennessee,1971,3990000
Tennessee,1972,4031000
Tennessee,1973,4126000
Tennessee,1974,4129000
Tennessee,1975,4188000
Tennessee,1976,4214000
Tennessee,1977,4299000
Tennessee,1978,4357000
Tennessee,1979,4380000
Tennessee,1980,4545590
Tennessee,1981,4610000
Tennessee,1982,4651000
Tennessee,1983,4685000
Tennessee,1984,4717000
Tennessee,1985,4762000
Tennessee,1986,4803000
Tennessee,1987,4855000
Tennessee,1988,4919000
Tennessee,1989,4940000
Tennessee,1990,4877185
Tennessee,1991,4953000
Tennessee,1992,5024000
Tennessee,1993,5099000
Tennessee,1994,5175000
Tennessee,1995,5256000
Tennessee,1996,5320000
Tennessee,1997,5368000
Tennessee,1998,5431000
Tennessee,1999,5483535
Tennessee,2000,5689283
Tennessee,2001,5749398
Tennessee,2002,5789796
Tennessee,2003,5845208
Tennessee,2004,5893298
Tennessee,2005,5955745
Tennessee,2006,6038803
Tennessee,2007,6156719
Tennessee,2008,6214888
Tennessee,2009,6296254
Tennessee,2010,6357436
Tennessee,2011,6399787
Tennessee,2012,6456243
Texas,1960,9579677
Texas,1961,9788000
Texas,1962,10116000
Texas,1963,10323000
